transaction_id,customer_id,merchant_id,transaction_date,amount,currency,card_number,card_brand,card_type,card_subtype,merchant_name,merchant_category_code,merchant_category,merchant_description,transaction_status,authorization_code,region_code,region_name,country_code,timezone,customer_tier,customer_credit_limit,primary_department,sensitivity_level,risk_level,risk_score,is_international,is_online,processor_response_code,created_timestamp,updated_timestamp
TXN_565E83782D49,CUST_858490,MERCH_84847,2025-01-27 05:04:56,858.69,USD,6***-****-****-1887,DISCOVER,CREDIT,CASHBACK,Retail Store #690,5311,RETAIL,Department Stores,APPROVED,AUTH785197,ASIA_PAC,Asia Pacific,JP,Asia/Tokyo,SILVER,25000,CUSTOMER_SERVICE,PUBLIC,LOW,6.06,False,True,41,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_3630D452A21A,CUST_300896,MERCH_34931,2025-07-22 10:06:10,1725.47,USD,6***-****-****-1828,DISCOVER,CREDIT,REWARDS,Retail Store #668,5311,RETAIL,Department Stores,DECLINED,AUTH666847,ASIA_PAC,Asia Pacific,JP,Asia/Tokyo,GOLD,100000,OPERATIONS,INTERNAL,LOW,96.9,True,True,54,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_5FA17ADFDDB6,CUST_609231,MERCH_73092,2025-09-06 10:33:50,630.5,USD,5***-****-****-8454,MASTERCARD,DEBIT,STANDARD,Liquor Store #293,5921,LIQUOR,"Package Stores, Beer, Wine, Liquor",APPROVED,AUTH543555,US_WEST,US West,US,America/Los_Angeles,STANDARD,10000,COMPLIANCE,PUBLIC,LOW,15.48,False,True,00,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_A96EE8B0E9F2,CUST_707314,MERCH_81066,2024-10-03 16:56:44,964.7,USD,6***-****-****-2312,DISCOVER,CREDIT,REWARDS,Financial Store #872,6051,FINANCIAL,"Non-FI, Money Orders",DECLINED,AUTH294851,US_EAST,US East,US,America/New_York,STANDARD,10000,COMPLIANCE,PUBLIC,LOW,59.5,False,True,54,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_957B5ADD9B5C,CUST_225710,MERCH_84668,2025-01-12 11:34:13,748.74,USD,4***-****-****-4346,VISA,CREDIT,REWARDS,Liquor Store #686,5921,LIQUOR,"Package Stores, Beer, Wine, Liquor",APPROVED,AUTH850981,US_WEST,US West,US,America/Los_Angeles,STANDARD,10000,COMPLIANCE,PUBLIC,LOW,23.87,False,True,43,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_B5D6154FD09C,CUST_579434,MERCH_51441,2024-11-02 01:22:27,466.96,USD,4***-****-****-5002,VISA,CREDIT,TRAVEL,Restaurant Store #379,5812,RESTAURANT,"Eating Places, Restaurants",APPROVED,AUTH398830,US_EAST,US East,US,America/New_York,PREMIUM,500000,OPERATIONS,RESTRICTED,LOW,43.82,False,False,00,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_4A3FBFF0D61E,CUST_800305,MERCH_82692,2025-04-14 11:12:28,172.34,USD,5***-****-****-4450,MASTERCARD,CREDIT,REWARDS,Retail Store #735,5999,RETAIL,Miscellaneous Retail,APPROVED,AUTH459536,EUROPE,Europe,DE,Europe/London,STANDARD,10000,CUSTOMER_SERVICE,PUBLIC,LOW,68.75,False,False,43,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_CEE845BD2863,CUST_987204,MERCH_16658,2024-12-22 08:23:23,84.98,USD,4***-****-****-8007,VISA,DEBIT,STANDARD,Grocery Store #575,5411,GROCERY,"Grocery Stores, Supermarkets",APPROVED,AUTH110139,US_EAST,US East,US,America/New_York,STANDARD,10000,CUSTOMER_SERVICE,PUBLIC,LOW,7.52,False,True,00,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_0C3A58F3B67D,CUST_975136,MERCH_58393,2024-12-17 12:34:31,335.13,USD,3***-******-83385,AMEX,CREDIT,REWARDS,Grocery Store #906,5411,GROCERY,"Grocery Stores, Supermarkets",DECLINED,AUTH526117,US_WEST,US West,US,America/Los_Angeles,SILVER,25000,CUSTOMER_SERVICE,PUBLIC,LOW,92.58,True,True,14,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_F7010AC9FC27,CUST_532322,MERCH_13248,2024-10-23 14:18:50,394.89,USD,6***-****-****-8711,DISCOVER,CREDIT,REWARDS,Retail Store #228,5311,RETAIL,Department Stores,APPROVED,AUTH309267,US_WEST,US West,US,America/Los_Angeles,STANDARD,10000,OPERATIONS,INTERNAL,MEDIUM,34.97,True,True,00,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_6ED3947269B7,CUST_792094,MERCH_35313,2025-08-05 06:16:54,540.85,USD,3***-******-25118,AMEX,DEBIT,STANDARD,Transport Store #899,4111,TRANSPORT,"Transportation, Suburban and Local",APPROVED,AUTH373903,ASIA_PAC,Asia Pacific,SG,Asia/Tokyo,SILVER,25000,OPERATIONS,PUBLIC,LOW,58.06,False,True,05,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_429AC9683F23,CUST_725550,MERCH_66959,2024-09-28 20:30:07,571.4,USD,4***-****-****-1027,VISA,CREDIT,REWARDS,Liquor Store #533,5921,LIQUOR,"Package Stores, Beer, Wine, Liquor",DECLINED,AUTH945687,EUROPE,Europe,ES,Europe/London,STANDARD,10000,COMPLIANCE,PUBLIC,LOW,68.69,True,False,54,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_9D0686795607,CUST_173372,MERCH_97062,2025-01-16 07:02:05,414.35,USD,4***-****-****-3085,VISA,CREDIT,TRAVEL,Retail Store #197,5999,RETAIL,Miscellaneous Retail,APPROVED,AUTH540869,EUROPE,Europe,IT,Europe/London,STANDARD,10000,CUSTOMER_SERVICE,PUBLIC,LOW,67.73,True,False,54,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_0CC456181CF4,CUST_674553,MERCH_10053,2025-03-29 03:16:36,386.45,USD,3***-******-32241,AMEX,CREDIT,CASHBACK,Entertainment Store #675,7995,ENTERTAINMENT,"Betting, Gambling",APPROVED,AUTH188914,EUROPE,Europe,FR,Europe/London,SILVER,25000,COMPLIANCE,PUBLIC,LOW,51.55,False,True,41,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_57B2E497A040,CUST_805477,MERCH_50687,2025-07-07 01:37:46,91.37,USD,4***-****-****-4185,VISA,CREDIT,REWARDS,Retail Store #736,5311,RETAIL,Department Stores,CANCELLED,AUTH830180,US_WEST,US West,US,America/Los_Angeles,STANDARD,10000,CUSTOMER_SERVICE,PUBLIC,LOW,49.44,True,True,00,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_14475B89FBB0,CUST_887443,MERCH_23970,2024-10-28 17:56:01,230.95,USD,6***-****-****-8612,DISCOVER,DEBIT,STANDARD,Grocery Store #684,5411,GROCERY,"Grocery Stores, Supermarkets",APPROVED,AUTH656932,ASIA_PAC,Asia Pacific,AU,Asia/Tokyo,SILVER,25000,FRAUD,CONFIDENTIAL,HIGH,95.0,False,False,61,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_72BF2A8B4772,CUST_266889,MERCH_72216,2025-03-01 10:41:58,285.96,USD,3***-******-47450,AMEX,CREDIT,REWARDS,Financial Store #241,6051,FINANCIAL,"Non-FI, Money Orders",APPROVED,AUTH384913,ASIA_PAC,Asia Pacific,AU,Asia/Tokyo,SILVER,25000,COMPLIANCE,PUBLIC,LOW,31.97,True,True,14,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_088ACAD734C2,CUST_342495,MERCH_60205,2024-11-30 22:37:33,834.56,USD,6***-****-****-1320,DISCOVER,CREDIT,REWARDS,Transport Store #878,4111,TRANSPORT,"Transportation, Suburban and Local",APPROVED,AUTH902784,US_WEST,US West,US,America/Los_Angeles,STANDARD,10000,CUSTOMER_SERVICE,PUBLIC,LOW,47.7,False,False,54,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_9CB74853E6DB,CUST_994905,MERCH_64921,2025-07-18 14:00:55,205.14,USD,6***-****-****-8657,DISCOVER,CREDIT,REWARDS,Grocery Store #942,5411,GROCERY,"Grocery Stores, Supermarkets",APPROVED,AUTH233827,US_WEST,US West,US,America/Los_Angeles,SILVER,25000,OPERATIONS,PUBLIC,LOW,90.69,True,True,54,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_6A8319765CCE,CUST_242291,MERCH_70515,2025-02-05 20:30:07,233.43,USD,5***-****-****-7906,MASTERCARD,CREDIT,CASHBACK,Entertainment Store #259,7995,ENTERTAINMENT,"Betting, Gambling",APPROVED,AUTH975467,US_WEST,US West,US,America/Los_Angeles,GOLD,100000,COMPLIANCE,INTERNAL,MEDIUM,47.03,True,False,41,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_C3B134E726E8,CUST_781725,MERCH_18993,2025-03-14 12:41:55,336.38,USD,5***-****-****-8619,MASTERCARD,DEBIT,STANDARD,Grocery Store #717,5411,GROCERY,"Grocery Stores, Supermarkets",APPROVED,AUTH368690,US_EAST,US East,US,America/New_York,STANDARD,10000,OPERATIONS,PUBLIC,LOW,16.78,False,True,14,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_10D4AFC02D83,CUST_426147,MERCH_24168,2025-04-29 13:32:30,557.13,USD,6***-****-****-4978,DISCOVER,CREDIT,CASHBACK,Liquor Store #105,5921,LIQUOR,"Package Stores, Beer, Wine, Liquor",DECLINED,AUTH831059,US_EAST,US East,US,America/New_York,STANDARD,10000,COMPLIANCE,PUBLIC,LOW,85.03,False,True,00,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_9EA3FBD35837,CUST_464069,MERCH_79827,2024-10-22 14:28:59,219.59,USD,3***-******-93307,AMEX,CREDIT,REWARDS,Grocery Store #913,5411,GROCERY,"Grocery Stores, Supermarkets",APPROVED,AUTH968962,ASIA_PAC,Asia Pacific,HK,Asia/Tokyo,STANDARD,10000,CUSTOMER_SERVICE,INTERNAL,MEDIUM,70.73,False,True,43,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_2705E88B06A0,CUST_745830,MERCH_80539,2024-10-15 06:32:47,286.14,USD,3***-******-41963,AMEX,DEBIT,STANDARD,Transport Store #769,4111,TRANSPORT,"Transportation, Suburban and Local",DECLINED,AUTH587282,ASIA_PAC,Asia Pacific,HK,Asia/Tokyo,SILVER,25000,CUSTOMER_SERVICE,INTERNAL,MEDIUM,33.64,False,False,14,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_0E1905B0E42C,CUST_611233,MERCH_37802,2024-10-14 20:45:37,317.22,USD,3***-******-63271,AMEX,CREDIT,REWARDS,Financial Store #501,6051,FINANCIAL,"Non-FI, Money Orders",APPROVED,AUTH682144,EUROPE,Europe,DE,Europe/London,STANDARD,10000,FRAUD,CONFIDENTIAL,HIGH,69.06,False,False,00,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_35613FB9C09E,CUST_197573,MERCH_48566,2025-06-28 07:24:42,447.05,USD,3***-******-56112,AMEX,CREDIT,REWARDS,Entertainment Store #720,7995,ENTERTAINMENT,"Betting, Gambling",APPROVED,AUTH575786,US_WEST,US West,US,America/Los_Angeles,SILVER,25000,COMPLIANCE,PUBLIC,LOW,30.66,True,True,41,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_D345256DB1EF,CUST_430876,MERCH_25670,2024-12-30 12:31:43,1961.41,USD,3***-******-48829,AMEX,CREDIT,TRAVEL,Apparel Store #233,5691,APPAREL,Men's and Women's Clothing,PENDING,AUTH478411,US_WEST,US West,US,America/Los_Angeles,GOLD,100000,OPERATIONS,INTERNAL,LOW,30.23,True,False,00,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_0E2D74156E3A,CUST_157174,MERCH_82529,2025-03-12 21:53:10,241.96,USD,6***-****-****-4020,DISCOVER,CREDIT,REWARDS,Restaurant Store #989,5812,RESTAURANT,"Eating Places, Restaurants",DECLINED,AUTH153872,EUROPE,Europe,FR,Europe/London,STANDARD,10000,CUSTOMER_SERVICE,PUBLIC,LOW,94.11,False,True,05,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_57855FDA0F90,CUST_520172,MERCH_74454,2024-10-14 16:43:59,496.99,USD,5***-****-****-2940,MASTERCARD,CREDIT,TRAVEL,Gas Store #572,5541,GAS,Service Stations,APPROVED,AUTH901577,US_EAST,US East,US,America/New_York,STANDARD,10000,FRAUD,CONFIDENTIAL,HIGH,60.63,False,True,54,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_DC9E5E84E7E9,CUST_572398,MERCH_68028,2025-06-26 00:55:19,117.25,USD,3***-******-91987,AMEX,PREPAID,GIFT,Apparel Store #217,5691,APPAREL,Men's and Women's Clothing,APPROVED,AUTH377501,EUROPE,Europe,UK,Europe/London,STANDARD,10000,OPERATIONS,PUBLIC,LOW,15.71,True,True,14,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_C925776A6E85,CUST_102805,MERCH_63545,2025-08-11 10:54:18,464.95,USD,4***-****-****-5334,VISA,CREDIT,CASHBACK,Retail Store #807,5311,RETAIL,Department Stores,APPROVED,AUTH929683,ASIA_PAC,Asia Pacific,SG,Asia/Tokyo,STANDARD,10000,OPERATIONS,PUBLIC,LOW,42.51,True,True,43,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_70DC148B923B,CUST_966785,MERCH_28643,2025-06-10 08:46:49,330.97,USD,3***-******-45683,AMEX,CREDIT,TRAVEL,Entertainment Store #513,7995,ENTERTAINMENT,"Betting, Gambling",APPROVED,AUTH666211,US_EAST,US East,US,America/New_York,GOLD,100000,COMPLIANCE,PUBLIC,LOW,43.78,False,True,54,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_D517BE4897C6,CUST_870214,MERCH_52247,2024-11-18 15:41:08,951.59,USD,4***-****-****-5557,VISA,CREDIT,REWARDS,Retail Store #186,5999,RETAIL,Miscellaneous Retail,APPROVED,AUTH713762,EUROPE,Europe,IT,Europe/London,PREMIUM,500000,CUSTOMER_SERVICE,RESTRICTED,MEDIUM,63.48,False,True,61,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_1A49049B0CC9,CUST_464863,MERCH_63523,2025-05-26 22:30:57,945.74,USD,5***-****-****-8451,MASTERCARD,CREDIT,REWARDS,Transport Store #91,4111,TRANSPORT,"Transportation, Suburban and Local",APPROVED,AUTH429795,EUROPE,Europe,FR,Europe/London,SILVER,25000,OPERATIONS,PUBLIC,LOW,32.33,False,True,61,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_A8A33E3959CC,CUST_533321,MERCH_17104,2025-04-12 21:53:16,117.85,USD,6***-****-****-5719,DISCOVER,CREDIT,TRAVEL,Entertainment Store #449,7995,ENTERTAINMENT,"Betting, Gambling",APPROVED,AUTH832168,US_WEST,US West,US,America/Los_Angeles,STANDARD,10000,COMPLIANCE,PUBLIC,LOW,12.14,True,True,43,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_0482797A5A45,CUST_677596,MERCH_11792,2024-11-10 09:54:16,406.22,USD,4***-****-****-5781,VISA,PREPAID,GIFT,Entertainment Store #522,7995,ENTERTAINMENT,"Betting, Gambling",DECLINED,AUTH839677,ASIA_PAC,Asia Pacific,AU,Asia/Tokyo,GOLD,100000,COMPLIANCE,PUBLIC,LOW,41.55,False,False,41,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_9532A4A04B7D,CUST_578975,MERCH_82255,2025-02-19 18:20:00,173.24,USD,5***-****-****-1042,MASTERCARD,DEBIT,STANDARD,Restaurant Store #290,5812,RESTAURANT,"Eating Places, Restaurants",APPROVED,AUTH861319,US_WEST,US West,US,America/Los_Angeles,SILVER,25000,CUSTOMER_SERVICE,INTERNAL,MEDIUM,83.75,False,True,61,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_66F452328F64,CUST_664742,MERCH_73483,2025-06-09 11:56:46,202.46,USD,6***-****-****-7274,DISCOVER,CREDIT,TRAVEL,Entertainment Store #240,7995,ENTERTAINMENT,"Betting, Gambling",DECLINED,AUTH997594,EUROPE,Europe,IT,Europe/London,SILVER,25000,COMPLIANCE,INTERNAL,MEDIUM,4.36,False,False,54,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_E1DEA07DF0C4,CUST_795928,MERCH_95461,2025-04-03 21:00:32,455.67,USD,3***-******-28894,AMEX,CREDIT,REWARDS,Restaurant Store #420,5812,RESTAURANT,"Eating Places, Restaurants",DECLINED,AUTH786587,US_WEST,US West,US,America/Los_Angeles,SILVER,25000,OPERATIONS,PUBLIC,LOW,7.48,False,False,54,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_7CE4195741CD,CUST_781403,MERCH_20527,2025-03-20 02:47:23,873.66,USD,6***-****-****-2121,DISCOVER,DEBIT,STANDARD,Transport Store #241,4111,TRANSPORT,"Transportation, Suburban and Local",APPROVED,AUTH761820,EUROPE,Europe,FR,Europe/London,STANDARD,10000,OPERATIONS,INTERNAL,MEDIUM,99.74,True,False,05,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_A9F8F0CA547F,CUST_897305,MERCH_93066,2025-01-28 19:54:36,190.55,USD,4***-****-****-5000,VISA,CREDIT,TRAVEL,Grocery Store #544,5411,GROCERY,"Grocery Stores, Supermarkets",APPROVED,AUTH532067,US_EAST,US East,US,America/New_York,SILVER,25000,OPERATIONS,PUBLIC,LOW,17.0,False,True,54,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_2CFAD4D8412A,CUST_749813,MERCH_99539,2025-05-28 14:11:44,22.38,USD,5***-****-****-8622,MASTERCARD,CREDIT,CASHBACK,Entertainment Store #923,7995,ENTERTAINMENT,"Betting, Gambling",APPROVED,AUTH401603,US_WEST,US West,US,America/Los_Angeles,SILVER,25000,COMPLIANCE,PUBLIC,LOW,7.39,False,False,54,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_2E75195758C2,CUST_823846,MERCH_42780,2025-01-29 00:31:53,466.23,USD,6***-****-****-5837,DISCOVER,CREDIT,REWARDS,Entertainment Store #23,7995,ENTERTAINMENT,"Betting, Gambling",APPROVED,AUTH970357,ASIA_PAC,Asia Pacific,HK,Asia/Tokyo,STANDARD,10000,COMPLIANCE,PUBLIC,LOW,27.45,True,False,43,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_563B53377A55,CUST_913423,MERCH_40162,2025-05-20 15:07:15,24.51,USD,3***-******-67779,AMEX,CREDIT,REWARDS,Gas Store #35,5541,GAS,Service Stations,APPROVED,AUTH707727,EUROPE,Europe,FR,Europe/London,SILVER,25000,FRAUD,CONFIDENTIAL,HIGH,73.24,True,False,51,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_19459DC882A1,CUST_883790,MERCH_64460,2024-11-14 12:27:17,716.73,USD,3***-******-73156,AMEX,CREDIT,TRAVEL,Financial Store #991,6051,FINANCIAL,"Non-FI, Money Orders",APPROVED,AUTH945664,US_WEST,US West,US,America/Los_Angeles,SILVER,25000,COMPLIANCE,PUBLIC,LOW,74.66,False,True,61,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_FC852BDEE8F8,CUST_178957,MERCH_28449,2024-09-17 00:31:15,338.01,USD,6***-****-****-3024,DISCOVER,CREDIT,TRAVEL,Financial Store #466,6051,FINANCIAL,"Non-FI, Money Orders",APPROVED,AUTH486490,US_WEST,US West,US,America/Los_Angeles,STANDARD,10000,COMPLIANCE,INTERNAL,MEDIUM,58.46,False,True,41,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_0119F0EA6674,CUST_594379,MERCH_13280,2025-02-17 04:22:58,106.59,USD,4***-****-****-1742,VISA,CREDIT,REWARDS,Entertainment Store #969,7995,ENTERTAINMENT,"Betting, Gambling",DECLINED,AUTH139019,EUROPE,Europe,FR,Europe/London,STANDARD,10000,COMPLIANCE,PUBLIC,LOW,99.59,True,True,41,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_81BC158DD5DF,CUST_663658,MERCH_27781,2025-02-19 17:47:37,1316.75,USD,6***-****-****-7686,DISCOVER,CREDIT,TRAVEL,Apparel Store #962,5691,APPAREL,Men's and Women's Clothing,APPROVED,AUTH393328,ASIA_PAC,Asia Pacific,JP,Asia/Tokyo,SILVER,25000,CUSTOMER_SERVICE,INTERNAL,LOW,69.03,True,False,61,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_DB1CE7C47667,CUST_347582,MERCH_57537,2024-10-29 01:24:02,474.76,USD,3***-******-22015,AMEX,CREDIT,CASHBACK,Grocery Store #679,5411,GROCERY,"Grocery Stores, Supermarkets",APPROVED,AUTH322409,US_EAST,US East,US,America/New_York,STANDARD,10000,CUSTOMER_SERVICE,PUBLIC,LOW,5.06,False,False,41,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_9C7692BE82C1,CUST_232040,MERCH_84000,2025-01-17 05:11:12,1553.25,USD,5***-****-****-5542,MASTERCARD,CREDIT,TRAVEL,Apparel Store #880,5691,APPAREL,Men's and Women's Clothing,APPROVED,AUTH251716,US_WEST,US West,US,America/Los_Angeles,GOLD,100000,OPERATIONS,INTERNAL,MEDIUM,54.02,True,True,00,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_F74C398F9090,CUST_238205,MERCH_11947,2025-06-26 16:06:11,213.38,USD,3***-******-18330,AMEX,CREDIT,REWARDS,Grocery Store #488,5411,GROCERY,"Grocery Stores, Supermarkets",APPROVED,AUTH570050,EUROPE,Europe,FR,Europe/London,STANDARD,10000,OPERATIONS,PUBLIC,LOW,51.32,True,False,41,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_D47E5C514559,CUST_744986,MERCH_15683,2024-10-23 13:04:00,399.86,USD,4***-****-****-8267,VISA,PREPAID,GIFT,Entertainment Store #76,7995,ENTERTAINMENT,"Betting, Gambling",APPROVED,AUTH184714,EUROPE,Europe,FR,Europe/London,SILVER,25000,COMPLIANCE,PUBLIC,LOW,60.83,True,True,43,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_117D72EDE2CA,CUST_754644,MERCH_92978,2025-07-16 14:58:51,565.9,USD,3***-******-95814,AMEX,CREDIT,CASHBACK,Entertainment Store #667,7995,ENTERTAINMENT,"Betting, Gambling",APPROVED,AUTH906315,EUROPE,Europe,ES,Europe/London,SILVER,25000,COMPLIANCE,PUBLIC,LOW,72.08,True,False,61,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_2E87539CE523,CUST_339592,MERCH_64239,2025-02-03 23:31:41,954.06,USD,4***-****-****-2099,VISA,CREDIT,CASHBACK,Transport Store #94,4111,TRANSPORT,"Transportation, Suburban and Local",APPROVED,AUTH972176,EUROPE,Europe,UK,Europe/London,STANDARD,10000,CUSTOMER_SERVICE,PUBLIC,LOW,9.32,True,False,14,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_EA1241167811,CUST_683397,MERCH_17861,2025-01-26 04:22:11,56.28,USD,6***-****-****-3535,DISCOVER,CREDIT,CASHBACK,Grocery Store #673,5411,GROCERY,"Grocery Stores, Supermarkets",PENDING,AUTH605612,EUROPE,Europe,DE,Europe/London,STANDARD,10000,OPERATIONS,PUBLIC,LOW,84.73,False,False,05,2025-09-11 14:47:23,2025-09-11 14:47:23
